"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 13:48:24 TRT 2024","Mon May 06 13:48:24 TRT 2024","927","","Create Courier Tests","","qa.scooter.courier.CreateCourierTests","createNewCourierTest","Create New Courier","Verify successful creation of a new courier"
"passed","Mon May 06 13:48:26 TRT 2024","Mon May 06 13:48:26 TRT 2024","269","","Create Courier Tests","","qa.scooter.courier.CreateCourierTests","createCourierWithoutLoginTest","Create Courier Without Login","Verify error when creating courier without login"
"passed","Mon May 06 13:47:53 TRT 2024","Mon May 06 13:48:14 TRT 2024","21070","","Get Orders List Tests","","qa.scooter.order.GetOrdersListTests","getOrdersListWithoutCourierIdTest","Get Orders List Without CourierId","Successfully returned list of orders"
"passed","Mon May 06 13:48:20 TRT 2024","Mon May 06 13:48:21 TRT 2024","1549","","Courier Login Tests","","qa.scooter.courier.CourierLoginTests","successfulCourierLoginTest","Successful Courier Login","Verify successful login"
"passed","Mon May 06 13:48:22 TRT 2024","Mon May 06 13:48:24 TRT 2024","1156","","Courier Login Tests","","qa.scooter.courier.CourierLoginTests","loginWithEmptyLoginTest","Login with Empty Login","Verify error when logging in with empty login"
"passed","Mon May 06 13:48:16 TRT 2024","Mon May 06 13:48:18 TRT 2024","1827","","Courier Login Tests","","qa.scooter.courier.CourierLoginTests","courierLoginWithMissingDataTest","Courier Login with Missing Data","Verify error when logging in with empty fields"
"passed","Mon May 06 13:48:25 TRT 2024","Mon May 06 13:48:25 TRT 2024","279","","Create Courier Tests","","qa.scooter.courier.CreateCourierTests","createCourierWithoutPasswordAndLoginTest","Create Courier With Empty Login and Password","Verify error when creating courier with empty login and password"
"passed","Mon May 06 13:48:14 TRT 2024","Mon May 06 13:48:15 TRT 2024","734","","Order Creation Tests","","qa.scooter.order.ParameterizedOrderCreationTests","createNewOrderTest[0: Color=[BLACK]]","Create New Order","Verify successfully created order"
"passed","Mon May 06 13:48:16 TRT 2024","Mon May 06 13:48:16 TRT 2024","576","","Order Creation Tests","","qa.scooter.order.ParameterizedOrderCreationTests","createNewOrderTest[3: Color=[]]","Create New Order","Verify successfully created order"
"passed","Mon May 06 13:47:47 TRT 2024","Mon May 06 13:47:53 TRT 2024","5721","","Get Orders List Tests","","qa.scooter.order.GetOrdersListTests","getOrdersListWithInvalidCourierIdTest","Get Orders List When Invalid CourierID","Check error message when invalid CourierID"
"passed","Mon May 06 13:48:18 TRT 2024","Mon May 06 13:48:20 TRT 2024","1274","","Courier Login Tests","","qa.scooter.courier.CourierLoginTests","loginWithNonExistingDataTest","Login with Non-Existing Data","Verify error when logging in with non-existing data"
"passed","Mon May 06 13:48:24 TRT 2024","Mon May 06 13:48:25 TRT 2024","552","","Create Courier Tests","","qa.scooter.courier.CreateCourierTests","createCourierWithExistingLoginTest","Fail to Create Duplicated Courier","Verify error when creating an existing courier"
"passed","Mon May 06 13:48:21 TRT 2024","Mon May 06 13:48:22 TRT 2024","1275","","Courier Login Tests","","qa.scooter.courier.CourierLoginTests","loginWithEmptyPasswordTest","Login with Empty Password","Verify error when logging in with empty password"
"passed","Mon May 06 13:48:25 TRT 2024","Mon May 06 13:48:26 TRT 2024","303","","Create Courier Tests","","qa.scooter.courier.CreateCourierTests","createCourierWithoutPasswordTest","Create Courier Without Password","Verify error when creating courier without password"
"passed","Mon May 06 13:48:15 TRT 2024","Mon May 06 13:48:15 TRT 2024","561","","Order Creation Tests","","qa.scooter.order.ParameterizedOrderCreationTests","createNewOrderTest[1: Color=[BLACK, GREY]]","Create New Order","Verify successfully created order"
"passed","Mon May 06 13:48:15 TRT 2024","Mon May 06 13:48:16 TRT 2024","570","","Order Creation Tests","","qa.scooter.order.ParameterizedOrderCreationTests","createNewOrderTest[2: Color=[GREY]]","Create New Order","Verify successfully created order"
